Honorific,"First name","Last name","Office type",Address,City,Province,"Postal code","Office email",Email,Telephone,Fax,Toll-free,TTY,"Riding name",Party,"Parliamentary role","Member ID",,,
Hon.,Victor,Fedeli,"Ministry office","Ministry of Economic Development, Job Creation, and Trade
18th Floor
777 Bay St.",Toronto,ON,"M7A 1S5",,vic.fedeli@pc.ola.org,416-326-8475,,,,Nipissing,"Progressive Conservative Party of Ontario",,7185
Hon.,Victor,Fedeli,"Constituency office","219 Main St. E","North Bay",ON,"P1B 1B2",vic.fedelico@pc.ola.org,vic.fedeli@pc.ola.org,705-474-8340,705-474-9747,,,Nipissing,"Progressive Conservative Party of Ontario",,7185
,Dawn,"Gallagher Murphy","Legislative office","Room 212
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,dawn.gallaghermurphy@pc.ola.org,416-325-1183,,,,Newmarket—Aurora,"Progressive Conservative Party of Ontario",,7605
,Dawn,"Gallagher Murphy","Constituency office","Unit 22
16635 Yonge St.",Newmarket,ON,"L3X 1V6",,dawn.gallaghermurphy@pc.ola.org,905-853-9889,905-853-6115,1-800-211-1881,,Newmarket—Aurora,"Progressive Conservative Party of Ontario",,7605
Hon.,Jill,Dunlop,"Ministry office","Ministry of Emergency Preparedness and Response
7th Floor
Suite 702
777 Bay St.",Toronto,ON,"M5G 2C2",,jill.dunlop@pc.ola.org,,,,,"Simcoe North","Progressive Conservative Party of Ontario",,7512
Hon.,Jill,Dunlop,"Constituency office","Unit 9
575 West St. S",Orillia,Ontario,"L3V 5H4",,jill.dunlop@pc.ola.org,705-326-3246,705-326-9579,,,"Simcoe North","Progressive Conservative Party of Ontario",,7512
Hon.,Mike,Harris,"Ministry office","Ministry of Natural Resources
Suite 1802
438 University Avenue",Toronto,ON,"M5G 2K8",,mike.harris@pc.ola.org,416-314-2301,,,,Kitchener—Conestoga,"Progressive Conservative Party of Ontario",,7482
Hon.,Mike,Harris,"Constituency office","Unit 3 & 4
63 Arthur St. S",Elmira,ON,"N3B 2M6",mike.harrisco@pc.ola.org,mike.harris@pc.ola.org,"519-669-2090  ","519-669-0476  ",,,Kitchener—Conestoga,"Progressive Conservative Party of Ontario",,7482
,Catherine,McKenney,"Constituency office","Unit 1
353 Waverley St. W",Ottawa,ON,"K2P 0W4",cmckenney-co@ndp.on.ca,cmckenney-co@ndp.on.ca,613-722-6414,613-722-6703,,,"Ottawa Centre","New Democratic Party of Ontario",,117
,Catherine,McKenney,"Legislative office","Room 363
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,cmckenney-co@ndp.on.ca,416-325-0071,,,,"Ottawa Centre","New Democratic Party of Ontario",,117
Hon.,Ernie,Hardeman,"Constituency office","12 Perry St.",Woodstock,ON,"N4S 3C2",ernie.hardemanco@pc.ola.org,ernie.hardeman@pc.ola.org,519-537-5222,519-537-3577,1-800-265-4046,,Oxford,"Progressive Conservative Party of Ontario",,43
Hon.,Ernie,Hardeman,"Legislative office","Whitney Block 
Room 1304 
99 Wellesley St. W",Toronto,ON,"M7A 1A2",,ernie.hardeman@pc.ola.org,416-325-0224,,,,Oxford,"Progressive Conservative Party of Ontario",,43
,Lisa,Gretzky,"Constituency office","2443 Dougall Ave.",Windsor,ON,"N8X 1T3",lgretzky-co@ndp.on.ca,lgretzky-qp@ndp.on.ca,519-977-7191,519-977-7029,,,"Windsor West","New Democratic Party of Ontario",,7288
,Lisa,Gretzky,"Legislative office","Room 325
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,lgretzky-qp@ndp.on.ca,416-325-0235,416-325-0873,,,"Windsor West","New Democratic Party of Ontario",,7288
Hon.,Doug,Downey,"Ministry office","Ministry of the Attorney General
McMurtry-Scott Building
11th Floor
720 Bay St.",Toronto,ON,"M7A 2S9",,doug.downey@pc.ola.org,416-326-2220,,,,Barrie—Springwater—Oro-Medonte,"Progressive Conservative Party of Ontario",,7450
Hon.,Doug,Downey,"Constituency office","Unit 14
20 Bell Farm Rd.",Barrie,ON,"L4M 6E4",,doug.downey@pc.ola.org,705-726-5538,705-726-2880,,,Barrie—Springwater—Oro-Medonte,"Progressive Conservative Party of Ontario",,7450
,Rudy,Cuzzetto,"Legislative office","Whitney Block
Room 1307 
99 Wellesley St. W",Toronto,ON,"M7A 1A2",,rudy.cuzzetto@pc.ola.org,416-325-4890,,,,Mississauga—Lakeshore,"Progressive Conservative Party of Ontario",,7492
,Rudy,Cuzzetto,"Constituency office","Unit 1 & 2
120 Lakeshore Rd. W",Mississauga,ON,"L5H 1E8",rudy.cuzzettoco@pc.ola.org,rudy.cuzzetto@pc.ola.org,905-274-8228,905-274-8552,,,Mississauga—Lakeshore,"Progressive Conservative Party of Ontario",,7492
,Lise,Vaugeois,"Constituency office","272 Park Ave.","Thunder Bay",ON,"P7B 1C5",lvaugeois-co@ndp.on.ca,lvaugeois-qp@ndp.on.ca,"807-345-3647  ","807-345-2922  ",833-690-2016,,"Thunder Bay—Superior North","New Democratic Party of Ontario",,7614
,Lise,Vaugeois,"Legislative office","Room 203
North Wing, Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,lvaugeois-qp@ndp.on.ca,416-325-0069,,,,"Thunder Bay—Superior North","New Democratic Party of Ontario",,7614
Hon.,Stephen,Crawford,"Ministry office","Ministry of Public and Business Service Delivery and Procurement
5th Floor
777 Bay St.",Toronto,ON,"M7A 2J3",,stephen.crawford@pc.ola.org,416-212-2665,,,,Oakville,"Progressive Conservative Party of Ontario",,7498
Hon.,Stephen,Crawford,"Constituency office","Unit 1
74 Rebecca St.",Oakville,ON,"L6K 1J2",,stephen.crawford@pc.ola.org,905-827-5141,905-827-3786,,,Oakville,"Progressive Conservative Party of Ontario",,7498
Hon.,"Prabmeet Singh",Sarkaria,"Ministry office","Ministry of Transportation
5th Floor
777 Bay St.",Toronto,ON,"M7A 1Z8",,prabmeet.sarkaria@pc.ola.org,416-327-9200,,,,"Brampton South","Progressive Conservative Party of Ontario",,7455
Hon.,"Prabmeet Singh",Sarkaria,"Constituency office","Unit 402
7700 Hurontario St.",Brampton,ON,"L6Y 4M3",,prabmeet.sarkaria@pc.ola.org,905-796-8669,905-796-8069,,,"Brampton South","Progressive Conservative Party of Ontario",,7455
,Amarjot,Sandhu,"Legislative office","Room 160 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,amarjot.sandhu@pc.ola.org,416-325-3028,,,,"Brampton West","Progressive Conservative Party of Ontario",,7456
,Amarjot,Sandhu,"Constituency office","Unit 309
10 Gillingham Dr.",Brampton,ON,"L6X 0G6",amarjot.sandhuco@pc.ola.org,amarjot.sandhu@pc.ola.org,905-595-1532,905-451-8496,,,"Brampton West","Progressive Conservative Party of Ontario",,7456
,Chris,Glover,"Constituency office","Unit A
226 Bathurst St.",Toronto,ON,"M5T 2R9",cglover-co@ndp.on.ca,cglover-qp@ndp.on.ca,"416-603-9664  ",,,,"Spadina—Fort York","New Democratic Party of Ontario",,7513
,Chris,Glover,"Legislative office","Room 241
North Wing, Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,cglover-qp@ndp.on.ca,"416-326-7196  ","416-326-7172  ",,,"Spadina—Fort York","New Democratic Party of Ontario",,7513
,Lorne,Coe,"Legislative office","Room 270
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,lorne.coe@pc.ola.org,416-325-1331,,,,Whitby,"Progressive Conservative Party of Ontario",,7344
,Lorne,Coe,"Constituency office","Suite 202
3000 Garden St.",Whitby,ON,"L1R 2G6",,lorne.coe@pc.ola.org,905-430-1141,905-430-1840,,,Whitby,"Progressive Conservative Party of Ontario",,7344
,Sheref,Sabawy,"Legislative office","Room 261 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,sheref.sabawy@pc.ola.org,416-325-1185,,,,"Mississauga—Erin Mills","Progressive Conservative Party of Ontario",,7491
,Sheref,Sabawy,"Constituency office","Unit 40
4181 Sladeview Cres",Mississauga,ON,"L5L 5R2",,sheref.sabawy@pc.ola.org,905-820-8851,905-820-4307,,,"Mississauga—Erin Mills","Progressive Conservative Party of Ontario",,7491
Hon.,Kinga,Surma,"Ministry office","Ministry of Infrastructure
Room 5E200
5th Floor
777 Bay St.",Toronto,ON,"M7A 2J3",,kinga.surma@pc.ola.org,416-327-4412,,,,"Etobicoke Centre","Progressive Conservative Party of Ontario",,7467
Hon.,Kinga,Surma,"Constituency office","Lloydmanor Shopping Centre
Unit 102
201 Lloyd Manor Rd.",Etobicoke,ON,"M9B 6H6",kinga.surmaco@pc.ola.org,kinga.surma@pc.ola.org,416-234-2800,416-234-2276,,,"Etobicoke Centre","Progressive Conservative Party of Ontario",,7467
,Chris,Scott,"Legislative office","Room N404
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,cscott@ola.org,416-325-0109,,,,"Sault Ste. Marie",Independent,,120
,Chris,Scott,"Constituency office","153 Great Northern Rd. ","Sault Ste Marie",ON,"P6B 4Y9",,cscott@ola.org,705-949-6959,705-946-6269,,,"Sault Ste. Marie",Independent,,120
,Marit,Stiles,"Legislative office","Room 381
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,mstiles-qp@ndp.on.ca,416-326-7202,416-326-7200,,,Davenport,"New Democratic Party of Ontario",,7460
,Marit,Stiles,"Constituency office","1199 Bloor St. W",Toronto,ON,"M6H 1N4",mstiles-co@ndp.on.ca,mstiles-qp@ndp.on.ca,416-535-3158,416-535-6587,,,Davenport,"New Democratic Party of Ontario",,7460
,Chandra,Pasma,"Legislative office","Room 206
North Wing, Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,cpasma-qp@ndp.on.ca,416-325-3001,416-325-0034,,,"Ottawa West—Nepean","New Democratic Party of Ontario",,7606
,Chandra,Pasma,"Constituency office","Unit 500
1580 Merivale Rd.",Nepean,ON,"K2G 4B5",cpasma-co@ndp.on.ca,cpasma-qp@ndp.on.ca,613-721-8075,,,,"Ottawa West—Nepean","New Democratic Party of Ontario",,7606
,"Jennifer (Jennie)",Stevens,"Constituency office","Unit B
209 Carlton St.","St. Catharines",ON,"L2R 1S1",jstevens-co@ndp.on.ca,jstevens-qp@ndp.on.ca,905-935-0018,905-935-0191,,,"St. Catharines","New Democratic Party of Ontario",,7514
,"Jennifer (Jennie)",Stevens,"Legislative office","Room 386
Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jstevens-qp@ndp.on.ca,416-326-7127,416-326-7126,,,"St. Catharines","New Democratic Party of Ontario",,7514
Hon.,Steve,Clark,"Legislative office","Room 223
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,steve.clark@pc.ola.org,416-325-7754,416-325-7755,,,"Leeds—Grenville—Thousand Islands and Rideau Lakes","Progressive Conservative Party of Ontario",,7146
Hon.,Steve,Clark,"Constituency office","Unit 305
9 Broad St.",Brockville,ON,"K6V 6Z4",,steve.clark@pc.ola.org,613-342-9522,613-342-2501,1-800-267-4408,,"Leeds—Grenville—Thousand Islands and Rideau Lakes","Progressive Conservative Party of Ontario",,7146
Hon.,Stan,Cho,"Ministry office","Ministry of Tourism, Culture and Gaming
6th Floor
438 University Ave.",Toronto,ON,"M7A 1N3",,stan.cho@pc.ola.org,416-326-9326,,,,Willowdale,"Progressive Conservative Party of Ontario",,7520
Hon.,Stan,Cho,"Constituency office","111 Sheppard Ave. W","North York",ON,"M2N 1M7",,stan.cho@pc.ola.org,416-733-7878,,,,Willowdale,"Progressive Conservative Party of Ontario",,7520
,Dave,Smith,"Constituency office","Unit E
864 Chemong Rd.",Peterborough,ON,"K9H 5Z8",dave.smithco@pc.ola.org,dave.smith@pc.ola.org,705-742-3777,,,,Peterborough—Kawartha,"Progressive Conservative Party of Ontario",,7525
Hon.,Donna,Skelly,"Legislative office","Room 180
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,donna.skelly@pc.ola.org,416-325-7435,,,,Flamborough—Glanbrook,"Progressive Conservative Party of Ontario",,7470
Hon.,Donna,Skelly,"Constituency office","Suite 104
2000 Garth St.",Hamilton,ON,"L9B 0C1",,donna.skelly@pc.ola.org,905-679-3770,,,,Flamborough—Glanbrook,"Progressive Conservative Party of Ontario",,7470
Hon.,"Raymond Sung Joon",Cho,"Ministry office","Ministry for Seniors and Accessibility
5th Floor
777 Bay St.",Toronto,ON,"M7A 1S5",,raymond.cho@pc.ola.org,416-314-0797,,,,"Scarborough North","Progressive Conservative Party of Ontario",,7364
Hon.,"Raymond Sung Joon",Cho,"Constituency office","Unit 111
4500 Sheppard Ave. E",Toronto,ON,"M1S 3R6",,raymond.cho@pc.ola.org,416-297-5040,,,,"Scarborough North","Progressive Conservative Party of Ontario",,7364
Hon.,Charmaine,Williams,"Ministry office","Ministry of Children, Community and Social Services
7th Floor
438 University Ave.",Toronto,ON,"M5G 2K8",,charmaine.williams@pc.ola.org,416-325-5225,,,,"Brampton Centre","Progressive Conservative Party of Ontario",,7586
Hon.,Charmaine,Williams,"Constituency office","Lakeridge Plaza
Unit 12
456 Vodden St. E",Brampton,ON,"L6S 5Y7",,charmaine.williams@pc.ola.org,905-454-1233,905-454-8292,,,"Brampton Centre","Progressive Conservative Party of Ontario",,7586
,Hardeep,Grewal,"Constituency office","Unit 307
1 Gateway Blvd.",Brampton,ON,"L6T 0G3",,hardeep.grewal@pc.ola.org,905-799-3939,905-799-9505,,,"Brampton East","Progressive Conservative Party of Ontario",,7587
Hon.,Paul,Calandra,"Ministry office","Ministry of Education
5th Floor
438 University Ave.",Toronto,ON,"M7A 2A5",,paul.calandra@pc.ola.org,416-325-2600,416-325-6348,,,Markham—Stouffville,"Progressive Conservative Party of Ontario",,7484
Hon.,Paul,Calandra,"Constituency office","Suite 400
37 Sandiford Dr.",Stouffville,ON,"L4A 3Z2",,paul.calandra@pc.ola.org,905-642-2588,905-642-1618,1-866-531-9551,,Markham—Stouffville,"Progressive Conservative Party of Ontario",,7484
Hon.,Paul,Calandra,"Constituency office","Unit 2
2677 Bur Oak Ave.",Markham,ON,"L6B 1K8",,paul.calandra@pc.ola.org,905-642-2588,905-642-1618,1-866-531-9551,,Markham—Stouffville,"Progressive Conservative Party of Ontario",,7484
,Jeff,Burch,"Legislative office","Room 355
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jburch-qp@ndp.on.ca,416-325-3990,416-325-3415,,,"Niagara Centre","New Democratic Party of Ontario",,7496
,Jeff,Burch,"Constituency office","9 Clarence St. ","Port Colborne",ON,"L3K 3E7",jburch-co@ndp.on.ca,jburch-qp@ndp.on.ca,905-732-6884,905-732-9782,,,"Niagara Centre","New Democratic Party of Ontario",,7496
,Jeff,Burch,"Constituency office","Unit 102
60 King St.",Welland,ON,"L3B 6A4",jburch-co@ndp.on.ca,jburch-qp@ndp.on.ca,905-732-6884,905-732-9782,,,"Niagara Centre","New Democratic Party of Ontario",,7496
,Stéphane,Sarrazin,"Legislative office","Room 153 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,stephane.sarrazin@pc.ola.org,416-325-1079,,,,Glengarry—Prescott—Russell,"Progressive Conservative Party of Ontario",,7598
,Stéphane,Sarrazin,"Constituency office","290A McGill St.",Hawkesbury,ON,"K6A 1P8",,stephane.sarrazin@pc.ola.org,613-632-2706,613-632-1554,1-800-294-8250,,Glengarry—Prescott—Russell,"Progressive Conservative Party of Ontario",,7598
,Sandy,Shaw,"Constituency office","177 King St. W",Dundas,ON,"L9H 1V3",sshaw-co@ndp.on.ca,sshaw-qp@ndp.on.ca,905-628-2755,905-628-1280,,,"Hamilton West—Ancaster—Dundas","New Democratic Party of Ontario",,7472
,Sandy,Shaw,"Legislative office","Room 359
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,sshaw-qp@ndp.on.ca,416-326-6890,416-326-6885,,,"Hamilton West—Ancaster—Dundas","New Democratic Party of Ontario",,7472
Hon.,Laurie,Scott,"Constituency office","14 Lindsay St. N",Lindsay,ON,"K9V 1T4",laurie.scottco@pc.ola.org,laurie.scott@pc.ola.org,705-324-6654,705-324-6938,1-800-424-2490,,"Haliburton—Kawartha Lakes—Brock","Progressive Conservative Party of Ontario",,2116
Hon.,Laurie,Scott,"Legislative office","Room 114
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,laurie.scott@pc.ola.org,416-325-0277,,,,"Haliburton—Kawartha Lakes—Brock","Progressive Conservative Party of Ontario",,2116
,Mike,Schreiner,"Constituency office","Unit 102
173 Woolwich St.",Guelph,ON,"N1H 3V4",mschreiner-co@ola.org,mschreiner@ola.org,519-836-4190,,,,Guelph,"Green Party of Ontario",,7449
,Mike,Schreiner,"Legislative office","Room 467
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,mschreiner@ola.org,416-325-4664,,,,Guelph,"Green Party of Ontario",,7449
,Peggy,Sattler,"Constituency office","Unit 101
240 Commissioners Rd. W",London,ON,"N6J 1Y1",psattler-co@ndp.on.ca,psattler-qp@ndp.on.ca,519-657-3120,519-657-0368,,,"London West","New Democratic Party of Ontario",,7225
,Peggy,Sattler,"Legislative office","Room 368
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,psattler-qp@ndp.on.ca,416-325-6908,416-325-7030,,,"London West","New Democratic Party of Ontario",,7225
Hon.,Zee,Hamid,"Ministry office","Ministry of the Solicitor General
George Drew Building
25 Grosvenor St.",Toronto,ON,"M7A 1Y6",,zee.hamid@pc.ola.org,416-326-5000,,,,Milton,"Progressive Conservative Party of Ontario",,105
Hon.,Zee,Hamid,"Constituency office","159 Main St. E",Milton,ON,"L9T 1N7",,zee.hamid@pc.ola.org,"905-878-1729  ",,,,Milton,"Progressive Conservative Party of Ontario",,105
,George,Darouze,"Constituency office","P.O. Box 51 
Main Stn",Manotick,ON,"K4M 1A2",,george.darouze@pc.ola.org,,,,,Carleton,"Progressive Conservative Party of Ontario",,110
,George,Darouze,"Constituency office","Unit 1 
1128 Mill Street",Manotick,ON,"K4M 1A4",,george.darouze@pc.ola.org,613-838-4425,,833-779-6821,,Carleton,"Progressive Conservative Party of Ontario",,110
Hon.,Greg,Rickford,"Ministry office","Ministry of Indigenous Affairs and First Nations Economic Reconciliation
Suite 400
160 Bloor St.",Toronto,ON,"M7A 2E6",,greg.rickford@pc.ola.org,416-326-4740,,,,"Kenora—Rainy River","Progressive Conservative Party of Ontario",,7476
Hon.,Greg,Rickford,"Constituency office","Unit 2
439 Government St.",Dryden,ON,"P8N 2P4",greg.rickfordco@pc.ola.org,greg.rickford@pc.ola.org,807-223-6456,,1-800-465-8501,,"Kenora—Rainy River","Progressive Conservative Party of Ontario",,7476
Hon.,Greg,Rickford,"Constituency office","5907 Hwy. 11/71
P.O. Box 326",Emo,ON,"P0W 1E0",greg.rickfordco@pc.ola.org,greg.rickford@pc.ola.org,807-274-7619,,,,"Kenora—Rainy River","Progressive Conservative Party of Ontario",,7476
Hon.,Greg,Rickford,"Constituency office","Suite B
610 Lakeview Dr.",Kenora,ON,"P9N 3P7",greg.rickfordco@pc.ola.org,greg.rickford@pc.ola.org,807-467-2415,,1-800-465-8501,,"Kenora—Rainy River","Progressive Conservative Party of Ontario",,7476
,Silvia,Gualtieri,"Legislative office","Room 157
Main Legislative Building, Queen’s Park",Toronto,ON,"M7A 1A5",,silvia.gualtieri@pc.ola.org,416-325-1237,,,,"Mississauga East—Cooksville","Progressive Conservative Party of Ontario",,115
,Silvia,Gualtieri,"Constituency office","Unit 204
2345 Stanfield Rd.",Mississauga,ON,"L4Y 1R6",,silvia.gualtieri@pc.ola.org,905-238-1751,,,,"Mississauga East—Cooksville","Progressive Conservative Party of Ontario",,115
,Tom,Rakocevic,"Constituency office","Unit 38
2300 Finch Ave. W","North York",ON,"M9M 2Y3",trakocevic-co@ndp.on.ca,trakocevic-qp@ndp.on.ca,416-743-7272,,,,"Humber River—Black Creek","New Democratic Party of Ontario",,7474
,Tom,Rakocevic,"Legislative office","Room 207
North Wing, Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,trakocevic-qp@ndp.on.ca,416-326-7585,416-326-7634,,,"Humber River—Black Creek","New Democratic Party of Ontario",,7474
Hon.,David,Piccini,"Ministry office","Ministry of Labour, Immigration, Training and Skills Development
14th Floor
400 University Ave",Toronto,ON,"M7A 1T7",,david.piccini@pc.ola.org,416-326-7600,,,,"Northumberland—Peterborough South","Progressive Conservative Party of Ontario",,7524
Hon.,David,Piccini,"Constituency office","117 Peter St.","Port Hope",ON,"L1A 1C5",,david.piccini@pc.ola.org,905-372-4000,905-885-0050,800-263-3980,,"Northumberland—Peterborough South","Progressive Conservative Party of Ontario",,7524
,Billy,Pang,"Legislative office","Room 186 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,,416-325-3043,,,,Markham—Unionville,"Progressive Conservative Party of Ontario",,7486
,Billy,Pang,"Constituency office","Unit 602
3601 Hwy. 7 E",Markham,ON,"L3R 0M3",billy.pangco@pc.ola.org,,905-474-3288,905-474-2878,,,Markham—Unionville,"Progressive Conservative Party of Ontario",,7486
,Guy,Bourgouin,"Constituency office","Unit 6
631 Front St. 
P.O. Box 387",Hearst,ON,"P0L 1N0",,,705-372-6400,705-372-6440,,,"Mushkegowuk—James Bay","New Democratic Party of Ontario",,7495
,Guy,Bourgouin,"Constituency office","1-2 Ash St.",Kapuskasing,ON,"P5N 3H4",,,705-335-6400,705-337-6869,833-530-6440,,"Mushkegowuk—James Bay","New Democratic Party of Ontario",,7495
,Guy,Bourgouin,"Legislative office","Room 330
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,,416-326-7351,416-326-6972,,,"Mushkegowuk—James Bay","New Democratic Party of Ontario",,7495
,France,Gélinas,"Constituency office","Hanmer Valley Shopping Centre
Unit 15
5085 Hwy. 69 N",Hanmer,ON,"P3P 1P7",gelinas-co@ndp.on.ca,gelinas-qp@ndp.on.ca,705-969-3621,"705-969-3538  ",877-280-9990,,"Nickel Belt","New Democratic Party of Ontario",,7090
,France,Gélinas,"Legislative office","Room 316
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,gelinas-qp@ndp.on.ca,416-325-9203,"416-325-9185  ",,,"Nickel Belt","New Democratic Party of Ontario",,7090
,Will,Bouma,"Legislative office","Room 267
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,will.bouma@pc.ola.org,416-325-0169,,,,Brantford—Brant,"Progressive Conservative Party of Ontario",,7457
,Will,Bouma,"Constituency office","Suite 101
96 Nelson St.",Brantford,ON,"N3T 2N1",,will.bouma@pc.ola.org,519-759-0361,519-759-6439,,,Brantford—Brant,"Progressive Conservative Party of Ontario",,7457
,Matthew,Rae,"Legislative office","Room 249 
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,matthew.rae@pc.ola.org,416-325-1084,,,,Perth—Wellington,"Progressive Conservative Party of Ontario",,7608
,Matthew,Rae,"Constituency office","Unit 2
55 Lorne Ave. E",Stratford,ON,"N5A 6S4",,matthew.rae@pc.ola.org,519-272-0660,519-272-1064,1-800-461-9701,,Perth—Wellington,"Progressive Conservative Party of Ontario",,7608
Hon.,George,Pirie,"Ministry office","Ministry of Northern Economic Development and Growth
5th Floor
99 Wellesley St. W",Toronto,ON,"M7A 1W3",,george.pirie@pc.ola.org,416-326-4740,,1-866-381-5337,,Timmins,"Progressive Conservative Party of Ontario",,7615
Hon.,George,Pirie,"Constituency office","Unit G
681 Algonquin Blvd. East",Timmins,ON,"P4N 8S6",,george.pirie@pc.ola.org,705-268-6400,,,,Timmins,"Progressive Conservative Party of Ontario",,7615
Hon.,Michael,Parsa,"Ministry office","Ministry of Children, Community and Social Services
7th Floor
438 University Ave.",Toronto,ON,"M5G 2K8",,,416-325-5225,416-325-5240,,,"Aurora—Oak Ridges—Richmond Hill","Progressive Conservative Party of Ontario",,7447
Hon.,Michael,Parsa,"Constituency office","Suite 201
13085 Yonge St.","Richmond Hill",ON,"L4E 3S8",michael.parsaco@pc.ola.org,,905-773-6250,905-773-8158,888-486-5352,,"Aurora—Oak Ridges—Richmond Hill","Progressive Conservative Party of Ontario",,7447
Hon.,Peter,Bethlenfalvy,"Ministry office","Ministry of Finance
​​​​​​​Frost Building South
7th Floor
7 Queen's Park Cres.",Toronto,ON,"M7A 1Y7",,peter.bethlenfalvy@pc.ola.org,416-325-0400,,,,Pickering—Uxbridge,"Progressive Conservative Party of Ontario",,7505
Hon.,Peter,Bethlenfalvy,"Constituency office","Suite 213
1550 Kingston Rd.",Pickering,ON,"L1V 1C3",,peter.bethlenfalvy@pc.ola.org,905-509-0336,905-509-0334,1-888-444-1730,,Pickering—Uxbridge,"Progressive Conservative Party of Ontario",,7505
,Wayne,Gates,"Constituency office","Douglas Heights Seniors Centre
265 High St.","Fort Erie",ON,"L2A 3R4",wgates-co@ndp.on.ca,wgates-qp@ndp.on.ca,"905-871-8868  ",905-871-4717 ,,,"Niagara Falls","New Democratic Party of Ontario",,7244
,Wayne,Gates,"Constituency office","Unit 1
6746 Morrison St.","Niagara Falls",ON,"L2E 6Z8",wgates-co@ndp.on.ca,wgates-qp@ndp.on.ca,"905-357-0681  ","905-357-9456  ",,,"Niagara Falls","New Democratic Party of Ontario",,7244
,Wayne,Gates,"Legislative office","Room 322
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,wgates-qp@ndp.on.ca,416-212-6102,"416-212-6106  ",,,"Niagara Falls","New Democratic Party of Ontario",,7244
,Mary-Margaret,McMahon,"Legislative office","Room 433
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,mmcmahon.mpp.co@liberal.ola.org,416-325-0090,416-325-0102,,,"Beaches—East York","Ontario Liberal Party",,7585
,Mary-Margaret,McMahon,"Constituency office","1896 Danforth Ave.",Toronto,ON,"M4C 1J4",,mmcmahon.mpp.co@liberal.ola.org,416-690-1032,,,,"Beaches—East York","Ontario Liberal Party",,7585
Hon.,Todd,McCarthy,"Ministry office","Ministry of Environment, Conservation and Parks
5th Floor
777 Bay St.",Toronto,ON,"M7A 2J3",,todd.mccarthy@pc.ola.org,416-314-6790,,,,Durham,"Progressive Conservative Party of Ontario",,7595
Hon.,Todd,McCarthy,"Constituency office","23 King St. W",Bowmanville,ON,"L1C 1R2",,todd.mccarthy@pc.ola.org,905-697-1501,905-697-1506,800-661-2433,,Durham,"Progressive Conservative Party of Ontario",,7595
,Jessica,Bell,"Constituency office","Unit 103
719 Bloor St. W",Toronto,ON,"M6G 1L5",jbell-co@ndp.on.ca,jbell-qp@ndp.on.ca,416-535-7206,,,,University—Rosedale,"New Democratic Party of Ontario",,7518
,Jessica,Bell,"Legislative office","Room 384
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,jbell-qp@ndp.on.ca,416-325-1620,416-325-1424,,,University—Rosedale,"New Democratic Party of Ontario",,7518
,Tyler,Watt,"Legislative office","Room 447
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,tylerwatt.mpp.co@ola.org,416-325-1777,416-325-0118,,,Nepean,"Ontario Liberal Party",,124
,Tyler,Watt,"Constituency office","Unit 222/3
250B Greenbank Rd.",Nepean,ON,"K2H 8X4",,tylerwatt.mpp.co@ola.org,613-518-9288,613-823-8284,,,Nepean,"Ontario Liberal Party",,124
,Vacant,seat,"Constituency office","Unit 5
3110 Kingston Rd.",Scarborough,ON,"M1M 1P2",,,416-261-9525,,,,"Scarborough Southwest",,,vac_77
,Karen,McCrimmon,"Legislative office","Room 428
Main Legislative Building, Queen's Park",Toronto,ON,"M7A 1A5",,kmccrimmon-co@liberal.ola.org,416-325-1212,,,,Kanata—Carleton,"Ontario Liberal Party",,7645
